method,variant_id,method_instance,n_runs,n_behavior_rows,proxy_fraction_at_floor_mean,proxy_fraction_at_floor_median,proxy_time_to_first_floor_gen_mean,proxy_n_floor_entries_mean,proxy_n_floor_exits_mean,proxy_n_down_steps_mean,proxy_n_up_steps_mean,proxy_n_neutral_steps_mean,proxy_sigma_min_seen_mean,proxy_sigma_max_seen_mean,proxy_ema_snr_last_mean
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,1800,1800,0.17339444444444446,0.12,79.17388888888888,1.4422222222222223,0.8861111111111111,23.305,21.165,55.53,0.1299458212057918,2.013410000265975,0.08914242778371677
proxy_sigma_controller,int_k090_r005_t008_025,proxy_sigma_controller:int_k090_r005_t008_025,1800,1800,0.22500555555555554,0.21,72.99555555555555,1.6961111111111111,1.0594444444444444,31.098333333333333,16.08888888888889,52.812777777777775,0.11657286991558945,2.0100823795950076,0.08834698014121405
proxy_sigma_controller,int_k090_r005_t012_030,proxy_sigma_controller:int_k090_r005_t012_030,1800,1800,0.2836111111111111,0.3,66.06888888888889,1.915,1.23,40.58166666666666,13.187777777777777,46.230555555555554,0.10695633822907641,2.007862116947964,0.09983644996720623
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,1800,1800,0.3386555555555555,0.39,60.62388888888889,2.1555555555555554,1.4011111111111112,48.51722222222222,10.425,41.05777777777778,0.10271534412192289,2.005520593726191,0.09665139244718138
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,1800,1800,0.3935277777777778,0.44,55.49,2.5716666666666668,1.7238888888888888,41.76833333333333,12.203888888888889,46.02777777777778,0.2018457274906209,2.0100823795950076,0.05299873502742304
proxy_sigma_controller,int_k093_r010_t005_020,proxy_sigma_controller:int_k093_r010_t005_020,1800,1800,0.3024888888888889,0.33,65.40166666666667,2.151111111111111,1.403888888888889,33.82277777777778,15.832222222222223,50.345,0.20954224801671192,2.017393537687602,0.05551473454316508
proxy_sigma_controller,int_k093_r010_t008_025,proxy_sigma_controller:int_k093_r010_t008_025,1800,1800,0.3694722222222222,0.42,58.57222222222222,2.3266666666666667,1.4933333333333334,44.20055555555555,11.25,44.54944444444445,0.20237343330806343,2.013322795747671,0.05366451259835229
proxy_sigma_controller,int_k093_r010_t012_030,proxy_sigma_controller:int_k093_r010_t012_030,1800,1800,0.4423166666666667,0.49,51.839444444444446,2.607222222222222,1.7005555555555556,54.39111111111111,8.313333333333333,37.29555555555555,0.20018417982043732,2.0092978794077023,0.04968905099515915
proxy_sigma_controller,int_k093_r010_t016_035,proxy_sigma_controller:int_k093_r010_t016_035,1800,1800,0.49156111111111106,0.53,47.44222222222222,2.472777777777778,1.5161111111111112,62.31055555555555,6.121666666666667,31.567777777777778,0.2,2.005654292398574,0.03745391731739495
proxy_sigma_controller,int_k095_r020_t005_020,proxy_sigma_controller:int_k095_r020_t005_020,1800,1800,0.4558388888888889,0.48,50.24777777777778,3.048888888888889,2.111666666666667,46.80722222222222,11.55888888888889,41.63388888888889,0.40002245969013245,2.020294804488024,0.02178989840408609
proxy_sigma_controller,int_k095_r020_t008_025,proxy_sigma_controller:int_k095_r020_t008_025,1800,1800,0.5251666666666667,0.545,43.904444444444444,3.1127777777777776,2.1594444444444445,57.18611111111111,7.9255555555555555,34.888333333333335,0.4,2.013528382600278,0.016827422505071913
proxy_sigma_controller,int_k095_r020_t012_030,proxy_sigma_controller:int_k095_r020_t012_030,1800,1800,0.5754333333333334,0.59,39.37777777777778,3.0183333333333335,2.0527777777777776,66.24055555555556,5.341666666666667,28.41777777777778,0.4,2.0083255341552992,0.016340773248442627
proxy_sigma_controller,int_k097_r005_t005_020,proxy_sigma_controller:int_k097_r005_t005_020,1800,1800,0.10696666666666667,0.0,87.71055555555556,1.0711111111111111,0.6605555555555556,32.31444444444445,16.877222222222223,50.80833333333333,0.15460581025874276,2.028287151898283,0.10036219315921692
proxy_sigma_controller,int_k097_r005_t008_025,proxy_sigma_controller:int_k097_r005_t008_025,1800,1800,0.1318,0.06,84.82888888888888,1.2455555555555555,0.7794444444444445,41.64222222222222,12.388333333333334,45.96944444444444,0.13524711072967924,2.017935989863494,0.09997230126056643
proxy_sigma_controller,int_k097_r005_t012_030,proxy_sigma_controller:int_k097_r005_t012_030,1800,1800,0.1622,0.12,81.30388888888889,1.433888888888889,0.9011111111111111,52.763888888888886,9.716666666666667,37.519444444444446,0.12132028809090359,2.011827896834399,0.10815553670520064
proxy_sigma_controller,int_k097_r005_t016_035,proxy_sigma_controller:int_k097_r005_t016_035,1800,1800,0.19085555555555556,0.16,78.10277777777777,1.5805555555555555,0.9888888888888889,61.77388888888889,7.947777777777778,30.278333333333332,0.11186830608286571,2.008201700377335,0.11067648188056416
vanilla_cma,,vanilla_cma,1800,0,,,,,,,,,,,
