method,function,dimension,seed,noise_sigma,planned_generations,final_best,proxy_schema_version,proxy_sigma_factor_last,proxy_ema_snr_last,proxy_time_to_first_floor_gen,proxy_fraction_at_floor,proxy_n_floor_entries,proxy_n_floor_exits,proxy_n_down_steps,proxy_n_up_steps,proxy_n_neutral_steps,proxy_sigma_min_seen,proxy_sigma_max_seen,proxy_trace_written,proxy_trace_relpath
proxy,rosenbrock,10,101,0.0,12,926.7684437158151,1,1.03,0.47388757928557035,12,0.0,0,0,1,9,2,0.39456755519437087,1.1064783160435943,False,
vanilla,rosenbrock,10,101,0.0,12,1721.9673792567514,,,,,,,,,,,,,,
proxy,rosenbrock,10,102,0.0,12,965.8631592776358,1,1.0,0.2425043300975569,12,0.0,0,0,2,7,3,0.38773602839092425,0.9331105740514658,False,
vanilla,rosenbrock,10,102,0.0,12,1158.5212988788908,,,,,,,,,,,,,,
proxy,rosenbrock,10,101,0.1,12,926.9308097805275,1,1.03,0.47383865162238037,12,0.0,0,0,1,9,2,0.39456755519437087,1.1064783160435943,False,
vanilla,rosenbrock,10,101,0.1,12,1722.1297453214638,,,,,,,,,,,,,,
proxy,rosenbrock,10,102,0.1,12,965.7549203521003,1,1.0,0.24250684387945332,12,0.0,0,0,2,7,3,0.38773602839092425,0.9331105740514658,False,
vanilla,rosenbrock,10,102,0.1,12,1158.6529828866992,,,,,,,,,,,,,,
proxy,sphere,10,101,0.0,12,13.085570904852649,1,1.03,0.47660305750672366,12,0.0,0,0,1,11,0,0.43381608026240204,1.651117663656415,False,
vanilla,sphere,10,101,0.0,12,12.347248709318347,,,,,,,,,,,,,,
proxy,sphere,10,102,0.0,12,14.275653804433937,1,1.03,0.34393732383274256,12,0.0,0,0,2,10,0,0.3886157818597564,2.0414633235607313,False,
vanilla,sphere,10,102,0.0,12,13.536941039779347,,,,,,,,,,,,,,
proxy,sphere,10,101,0.1,12,20.881112779884415,1,1.03,0.44275058211982793,12,0.0,0,0,1,11,0,0.43381608026240204,1.285535164440875,False,
vanilla,sphere,10,101,0.1,12,11.496185244437829,,,,,,,,,,,,,,
proxy,sphere,10,102,0.1,12,9.185637101752166,1,1.03,0.5010154569542596,12,0.0,0,0,2,10,0,0.3886157818597564,1.5585467158429853,False,
vanilla,sphere,10,102,0.1,12,13.712491538823881,,,,,,,,,,,,,,
